Date,Close/Last,Volume,Open,High,Low
10/07/2016,$115.89,228479,$115.96,$116.09,$115.22
10/06/2016,$116.44,133605,$116.22,$116.65,$116.18
10/05/2016,$117.07,202291,$116.43,$117.175,$116.43
10/04/2016,$115.33,166113,$115.56,$116.24,$115.11
10/03/2016,$115.26,609501,$114.49,$115.67,$114.34
09/30/2016,$116.06,376299,$115.26,$116.58,$115
09/29/2016,$115.99,399649,$116.53,$116.85,$115.76
09/28/2016,$117.63,188063,$117.35,$117.75,$116.48
09/27/2016,$118.32,325877,$118.6,$118.6,$117.79
09/26/2016,$117.1,317199,$116.86,$117.32,$116.5
09/23/2016,$117.66,402204,$117.62,$117.89,$117.26
09/22/2016,$120.8,507693,$120.83,$121.17,$120.33
09/21/2016,$119.45,402674,$119.63,$120.2,$118.01
09/20/2016,$116.46,195433,$116.85,$117.01,$116.32
09/19/2016,$115.07,221230,$115.25,$116.03,$114.9722
09/16/2016,$114.63,600218,$114.87,$115.2,$114.3803
09/15/2016,$118.17,224931,$117.02,$118.37,$116.821
09/14/2016,$117.45,291787,$117.85,$117.85,$117.31
09/13/2016,$118.81,350037,$119.34,$119.82,$118.36
09/12/2016,$120.35,245522,$118.66,$120.49,$118.66
09/09/2016,$118.66,370567,$120,$120.15,$118.64
09/08/2016,$121.01,163654,$120.78,$121.27,$120.65
09/07/2016,$120.74,268659,$121.37,$121.8,$120.591
09/06/2016,$120.67,292556,$120.51,$120.75,$120.08
09/02/2016,$122.08,339019,$121.52,$122.09,$121.52
09/01/2016,$121.02,341122,$121.59,$122,$120.57
08/31/2016,$120.63,395297,$121.19,$121.37,$120.04
08/30/2016,$121.24,169532,$121.23,$121.41,$120.94
08/29/2016,$120.34,205622,$120.02,$120.44,$120.01
08/26/2016,$118.62,405456,$118.27,$119.31,$117.97
08/25/2016,$120.29,354024,$120.76,$120.96,$120.21
08/24/2016,$120.9,368506,$121.58,$121.77,$120.73
08/23/2016,$119.8,169869,$120.27,$120.4,$119.8
08/22/2016,$120.58,331594,$120.31,$120.76,$120.2
08/19/2016,$119.62,356789,$119.47,$119.85,$119.4
08/18/2016,$118.94,775204,$118.25,$119.16,$118.25
08/17/2016,$119.2,536890,$118.53,$119.22,$118.52
08/16/2016,$117.28,221619,$117,$117.71,$116.8
08/15/2016,$117.58,120149,$117.5,$117.8944,$117.5
08/12/2016,$117.79,239904,$117.57,$118.18,$117.47
08/11/2016,$117.77,264717,$117.23,$117.94,$117.125
08/10/2016,$116.95,191364,$117.01,$117.35,$116.9
08/09/2016,$117.42,342127,$117.43,$117.5,$116.69
08/08/2016,$117.41,667929,$118.13,$118.52,$117.29
08/05/2016,$115.96,602922,$115.84,$116.23,$115.41
08/04/2016,$112.31,907307,$112.27,$112.48,$111.31
08/03/2016,$110.07,357961,$109.8,$110.075,$109.37
08/02/2016,$109.97,534738,$110.34,$110.8,$109.08
08/01/2016,$111.23,445102,$112.12,$112.2,$110.98
